"Individual","Partner","Population","Density","Sex","Exploration","Aggression","LRS","Feeding_rate","Aggression_score"
"C3F7029","C3F7030","Whytham Woods",13.7,"M",52.741560661484,3.23987107361489,4.44798817973626,3.5335139108801,1
"C3F7030","C3F7031","Zvenigorod",8.1,"M",48.3061745636857,-2.36740854037869,5.61374384887353,5.87623363871539,2
"C3F7031","C3F7032","Bagley Wood",9.2,"F",49.1682944598697,-2.18266563378413,5.25268853420407,4.45205008538109,1
"C3F7032","C3F7033","Boshoek",7.9,"F",46.2705480030619,-2.73410411260476,5.20002432967061,6.02434632702529,2
"C3F7033","C3F7034","Donana",12.2,"F",50.2260999865116,0.282148518221686,4.84387033372131,4.05429137588493,1
"C3F7034","C3F7035","Forstenrieder park",7.6,"F",45.5711515061536,-4.3381197735519,3.12710372049261,3.39836467994564,0
"C3F7035","C3F7036","Gotland",12.2,"F",50.7102954743231,1.00186909871485,4.67619303003323,5.18653494227269,2
"C3F7036","C3F7037","Mont Ventoux",11.4,"M",51.3803543795532,1.5855830138228,5.0070454214476,5.25105726169717,4
"C3F7037","C3F7038","Oulu",10.7,"M",51.4613772725474,0.430857556928352,5.07589499438683,4.31209299785846,1
"C3F7038","C3F7039","Westerheide",10.6,"M",50.7173876932482,1.46656186221754,4.62688986861865,5.71968730078759,1
"C3F7039","C3F7040","Whytham Woods",10.4,"M",50.7958641708604,0.274337076385213,5.46461267998578,4.6790732374272,0
"C3F7040","C3F7041","Zvenigorod",13.1,"M",50.0671627083226,1.19736172991712,5.10245560617627,6.63115381716588,1
"C3F7041","C3F7042","Bagley Wood",12.1,"F",51.2141406801063,2.00263484651663,5.34444639017032,5.17745281196017,1
"C3F7042","C3F7043","Boshoek",9.3,"F",49.0220861333882,-1.70946883090027,4.48235244444863,5.63481230592226,0
"C3F7043","C3F7044","Donana",10,"F",48.2714602386094,-2.11005055492699,3.90933435793028,3.29453446604356,2
"C3F7044","C3F7045","Forstenrieder park",12.9,"F",52.8751263380034,1.96038219715396,5.26795358153225,3.26625277950569,1
"C3F7045","C3F7046","Gotland",14.1,"F",53.6547266258826,3.42394582499781,6.42646507712416,5.79826137094787,1
"C3F7046","C3F7047","Mont Ventoux",6.6,"M",45.6755244954133,-3.04142002014269,3.54933397630247,4.32279685588353,1
"C3F7047","C3F7048","Oulu",11.7,"M",51.9629368565821,1.15616184995781,4.19386324638302,4.49387972646898,0
"C3F7048","C3F7049","Westerheide",11.9,"M",51.2943687349635,1.38535414204436,4.38459205745446,3.22403047305278,2
"C3F7049","C3F7050","Whytham Woods",9.7,"M",49.4566553669205,0.422246499797161,5.07026422168708,2.45043224409187,3
"C3F7050","C3F7051","Zvenigorod",10,"M",50.4822793674449,0.453903311327826,5.11107067713613,3.20937653111595,3
"C3F7051","C3F7052","Bagley Wood",9.8,"F",48.6708527974064,-2.42626488022262,4.86637078584431,5.07943517422539,2
"C3F7052","C3F7053","Boshoek",11.1,"F",50.6605686414184,0.142968049704645,4.71467258976105,6.25202124704762,2
"C3F7053","C3F7054","Donana",9.4,"F",49.5358733585577,-0.517846639899932,5.04671811446953,4.93326762003319,0
"C3F7054","C3F7055","Forstenrieder park",10.9,"F",49.4814406361879,-0.717474275601664,4.63019052784024,4.95860280864194,1
"C3F7055","C3F7056","Gotland",13.3,"F",53.3204347405691,3.12257227534085,5.19789588989421,6.32710603412319,1
"C3F7056","C3F7057","Mont Ventoux",8.3,"M",49.8179961622199,0.190787081284427,6.20604975704784,6.59480324232178,1
"C3F7057","C3F7058","Oulu",9.9,"M",51.8552951054769,-0.419574453840754,5.30840339071705,5.43231224817596,0
"C3F7058","C3F7059","Westerheide",12.7,"M",55.4918213568481,4.93867415730854,7.67160517258392,7.78330055443506,1
"C3F7059","C3F7060","Whytham Woods",10,"M",48.9399496725214,-0.479667328119048,3.84273535101414,4.21562797181102,2
"C3F7060","C3F7061","Zvenigorod",11.7,"M",50.1010837714561,-0.378568896036974,4.43538274019298,4.01588815045795,1
"C3F7061","C3F7062","Bagley Wood",9.6,"F",47.8659140411351,-1.16942998890553,5.08614207004409,4.60974260221367,2
"C3F7062","C3F7063","Boshoek",8.6,"F",48.5784493828627,-0.919136878075785,4.39616926876849,4.57207022515485,0
"C3F7063","C3F7064","Donana",6.8,"F",44.5264392848377,-3.42906944754973,5.05209963204362,5.41469812441879,1
"C3F7064","C3F7065","Forstenrieder park",13.4,"F",51.6408201352282,1.44282532720363,2.65037134785239,2.31972808922363,0
"C3F7065","C3F7066","Gotland",10.6,"F",46.9300076892024,-2.23492008004366,3.57173504666283,4.60118587117057,0
"C3F7066","C3F7067","Mont Ventoux",12.1,"M",53.3883448917342,1.70871066426425,5.25634174959279,4.71015746271001,2
"C3F7067","C3F7068","Oulu",10.9,"M",50.2399490859962,1.11174357030632,4.8545899828838,5.19165548476913,0
"C3F7068","C3F7069","Westerheide",8.2,"M",49.3694246200042,-0.258253216049726,6.40788075936828,6.51768711561709,2
"C3F7069","C3F7070","Whytham Woods",8.6,"M",49.9015900666358,-2.15475352897319,4.90804042188083,6.58831210104447,0
"C3F7070","C3F7071","Zvenigorod",9.5,"M",50.267532909441,-0.0105577624804485,6.41464936719272,5.36596861503536,0
"C3F7071","C3F7072","Bagley Wood",7.1,"F",44.8967770180365,-5.50479303130652,4.46153123138266,4.00563971912135,0
"C3F7072","C3F7073","Boshoek",10.1,"F",50.7634289365756,-0.544619298851892,5.28183809053017,6.11237008257185,0
"C3F7073","C3F7074","Donana",8.4,"F",46.8478108608411,-3.24316397552185,4.29182928994616,4.80751281904872,0
"C3F7074","C3F7075","Forstenrieder park",8.9,"F",47.701761852028,-2.97925223911603,4.48397197073799,3.1236451143626,2
"C3F7075","C3F7076","Gotland",9.6,"F",50.4223951280372,-1.95361981457898,5.19911532699471,5.8420930845962,1
"C3F7076","C3F7077","Mont Ventoux",13.8,"M",54.2199876042156,1.83154298356239,5.80259748134487,7.91969272400643,1
"C3F7077","C3F7078","Oulu",10.1,"M",50.2153587098398,-0.236928079229594,3.72539466262623,4.88579311747807,0
"C3F7078","C3F7079","Westerheide",6,"M",48.1526322960055,-3.81747432415325,4.74326174110124,4.89103158870692,0
"C3F7079","C3F7080","Whytham Woods",7.5,"M",48.8421171286605,-1.90240827999112,5.52444371313852,5.78270358673311,0
"C3F7080","C3F7081","Zvenigorod",10,"M",48.3718277433568,-0.528118959808753,3.53527603378154,2.56708686918981,2
"C3F7081","C3F7082","Bagley Wood",12.3,"F",49.993707734286,1.61072932116352,5.0416538782828,4.56936800134772,0
"C3F7082","C3F7083","Boshoek",10.9,"F",51.2342947069362,1.38441541228414,6.44847666936143,5.63568071804905,1
"C3F7083","C3F7084","Donana",11.2,"F",49.5992678326113,-0.688538137679085,4.95411212166321,4.94004101336934,1
"C3F7084","C3F7085","Forstenrieder park",11.6,"F",50.2020931960999,0.828139956154595,5.42297516673483,4.96528781204627,1
"C3F7085","C3F7086","Gotland",11.5,"F",51.6863763792517,1.71098097883395,5.20510429845786,5.18882459176415,2
"C3F7086","C3F7087","Mont Ventoux",10.7,"M",52.56033163654,2.99382482479262,6.19356915078586,5.14812260514026,1
"C3F7087","C3F7088","Oulu",8.1,"M",48.73438030236,-0.689543054350356,5.17704216858518,6.31146220244749,1
"C3F7088","C3F7089","Westerheide",11.8,"M",51.2223177447713,1.82331960295875,3.43489490875395,2.959688137175,1
"C3F7089","C3F7090","Whytham Woods",10.9,"M",49.9036083007858,-0.135992866270121,4.41971089243224,6.12268546526565,0
"C3F7090","C3F7091","Zvenigorod",11.4,"M",50.4391888751845,0.995276211315197,4.8453441008254,2.97924209621879,2
"C3F7091","C3F7092","Bagley Wood",12.3,"F",51.4465048629099,1.21884833335023,4.79435895025817,5.19918763961994,2
"C3F7092","C3F7093","Boshoek",10.2,"F",50.7174779294001,0.221073248944568,5.05794045157696,4.34701865426215,2
"C3F7093","C3F7094","Donana",14.1,"F",51.0319713370113,2.92159042146006,4.77491244159379,2.74267555356397,2
"C3F7094","C3F7095","Forstenrieder park",9.3,"F",48.9346131148239,-1.06877255577129,4.84651823119759,5.11539093418894,0
"C3F7095","C3F7096","Gotland",12.1,"F",49.7047160319374,0.863082790923301,5.28643425470655,5.10194180842348,2
"C3F7096","C3F7097","Mont Ventoux",5.4,"M",45.3596366361349,-4.03497437306427,4.74791082080205,6.10456322928645,0
"C3F7097","C3F7098","Oulu",10.7,"M",52.4200813545462,1.35177914024947,5.66918156657534,5.06494344371314,0
"C3F7098","C3F7099","Westerheide",9.7,"M",49.0645686150382,-0.971040038904441,3.43042877527876,3.24297238279649,0
"C3F7099","C3F7100","Whytham Woods",12,"M",53.0555124530588,1.92755871954877,4.65174132337992,5.710081238157,5
"C3F7100","C3F7101","Zvenigorod",8.1,"M",47.2780726076863,-2.02927660808799,4.47235477856272,4.41349183726902,1
"C3F7101","C3F7102","Bagley Wood",7.7,"F",46.3837396748788,-3.76968262111921,5.73212292225358,7.1951558269876,0
"C3F7102","C3F7103","Boshoek",8.6,"F",47.8082736498561,-0.564245704537761,5.24582436727323,6.55087725707303,2
"C3F7103","C3F7104","Donana",10,"F",48.7490750468124,-0.941023672240642,4.83118887787125,4.45538857688805,1
"C3F7104","C3F7105","Forstenrieder park",4.8,"F",44.4210753231268,-3.93019521959983,5.8091776412985,6.47540245030414,1
"C3F7105","C3F7106","Gotland",10.9,"F",48.1805365869375,0.182221729768002,3.7120332008889,3.97061411096491,0
"C3F7106","C3F7107","Mont Ventoux",12.7,"M",50.8714459447347,2.78813341378857,4.79046857581966,6.08188619178808,1
"C3F7107","C3F7108","Oulu",11.7,"M",51.9080871868269,2.67467057739786,5.25362316481918,5.56506175275704,1
"C3F7108","C3F7109","Westerheide",9.3,"M",50.7265041832631,1.4094488754582,5.77983308103646,5.98615938263589,1
"C3F7109","C3F7110","Whytham Woods",11.2,"M",51.6757978994877,0.952613842323376,4.47321133541248,5.15532363932035,0
"C3F7110","C3F7111","Zvenigorod",14.5,"M",51.2741829311855,2.12568750591673,3.85564061834308,5.26410088143399,0
"C3F7111","C3F7112","Bagley Wood",9.9,"F",48.0241742399469,-2.37984547844339,3.9620849273964,3.68551820353624,0
"C3F7112","C3F7113","Boshoek",11.2,"F",52.7649110872459,0.287267215752694,5.38254050854577,6.31937734877615,0
"C3F7113","C3F7114","Donana",9.3,"F",49.3776207410577,-1.8737896187538,4.8423567051412,5.31620234272144,0
"C3F7114","C3F7115","Forstenrieder park",14.2,"F",54.0949648780491,3.67894634257329,5.7085222766574,5.05089375382716,5
"C3F7115","C3F7116","Gotland",6.4,"F",46.1051683466266,-1.80587746868615,6.55335742514349,5.95378757318532,1
"C3F7116","C3F7117","Mont Ventoux",7.3,"M",46.6420655150934,-3.33050423752204,3.02004902841353,2.77548593682465,0
"C3F7117","C3F7118","Oulu",8.2,"M",48.2075035059073,-1.25607143166914,4.43973202842648,3.93529497000093,2
"C3F7118","C3F7119","Westerheide",6.7,"M",46.9872994166055,-3.54316436675241,4.84711925915273,3.53401000797586,1
"C3F7119","C3F7120","Whytham Woods",13.8,"M",51.5578563278127,4.16879032343412,4.58950835740488,6.07195428605363,2
"C3F7120","C3F7121","Zvenigorod",7.3,"M",49.292817082304,-1.57897483420453,5.00309526677137,4.00617847474627,3
"C3F7121","C3F7122","Bagley Wood",12.9,"F",53.8749252150439,1.7754461437668,5.28037108661778,5.77896291777764,3
"C3F7122","C3F7123","Boshoek",9.3,"F",49.807230549891,-0.732560393770145,5.4383584359791,5.4647054965184,1
"C3F7123","C3F7124","Donana",9.5,"F",48.2332734488729,-2.16804065786807,4.63867567473162,4.2552294984769,0
"C3F7124","C3F7125","Forstenrieder park",8.9,"F",49.2514298668863,-0.913437556982559,5.32041277898165,4.69683730766522,1
"C3F7125","C3F7126","Gotland",12.5,"F",51.4282788954114,1.80565686183882,5.18006453631154,4.54711604488381,2
"C3F7126","C3F7127","Mont Ventoux",11.8,"M",53.3813327140541,3.29797006709384,6.12274247341844,6.50456099306306,0
"C3F7127","C3F7128","Oulu",9.2,"M",49.2946955053427,-0.66594993113303,3.75196895180529,3.64674161272686,0
"C3F7128","C3F7129","Westerheide",10.2,"M",50.6032430218248,0.499539779338502,4.4354062708135,4.288277113896,3
"C3F7129","C3F7130","Whytham Woods",12.1,"M",51.5453956370271,3.0653611971057,5.75371514564987,7.63318839610922,1
"C3F7130","C3F7131","Zvenigorod",8.3,"M",49.7088463515244,-2.49878284701251,5.3298539189935,4.90902798209735,1
"C3F7131","C3F7132","Bagley Wood",11.8,"F",50.277377647867,0.498504128690692,5.67140253891486,4.37031547238084,2
"C3F7132","C3F7133","Boshoek",9.1,"F",47.8707700133034,-0.445733954993421,5.48339399398814,4.95979412493516,3
"C3F7133","C3F7134","Donana",14.5,"F",49.7076142812272,2.96482788640885,4.14884669771024,4.9129148327778,2
"C3F7134","C3F7135","Forstenrieder park",8.1,"F",48.0733368138039,-2.46555843047346,4.74833327359072,3.67882642781939,2
"C3F7135","C3F7136","Gotland",6.7,"F",46.9146120703891,-3.60712107434851,6.09359728681056,5.82919934522401,2
"C3F7136","C3F7137","Mont Ventoux",8.3,"M",47.8756165023097,-0.722661616926218,4.62066924372985,5.21138345911084,1
"C3F7137","C3F7138","Oulu",10.3,"M",49.6755094793,0.760096159470903,4.94104242231404,6.43868090921602,0
"C3F7138","C3F7139","Westerheide",11.7,"M",51.1556048059375,1.30573616409813,4.5595425347677,5.46370132041165,1
"C3F7139","C3F7140","Whytham Woods",8.6,"M",48.5327241900779,-0.479137852135277,5.10327885111283,4.48281629073283,1
"C3F7140","C3F7141","Zvenigorod",12,"M",49.6691880851892,0.284333270519028,4.90384550364774,7.421889151633,1
"C3F7141","C3F7142","Bagley Wood",15.4,"F",54.489808375245,6.86575684885156,5.7838823241632,5.57813865132847,2
"C3F7142","C3F7143","Boshoek",10.5,"F",47.8195743387059,-1.23028944624221,4.12727110437628,4.04358066718568,1
"C3F7143","C3F7144","Donana",9.5,"F",48.2548291734855,-1.18230468651268,4.95688144314385,5.0503118414718,1
"C3F7144","C3F7145","Forstenrieder park",10,"F",48.4395715109561,-1.74486289953016,4.96239607634814,4.98656039276856,2
"C3F7145","C3F7146","Gotland",9.1,"F",48.9814418413812,-1.91788155570243,5.53460679978285,5.93801557755978,0
"C3F7146","C3F7147","Mont Ventoux",6.6,"M",48.0445531293608,-2.90464972833302,5.2691981402648,4.97077552852859,2
"C3F7147","C3F7148","Oulu",12.7,"M",52.7372990379875,3.31911812999437,5.20655660391405,4.17087303864349,0
"C3F7148","C3F7149","Westerheide",3.3,"M",43.6823331422198,-6.08503774050579,5.64716879294442,6.78729155692533,1
"C3F7149","C3F7150","Whytham Woods",8.4,"M",47.9718027418957,-0.871748714216345,4.85614860211441,5.21206912004213,2
"C3F7150","C3F7151","Zvenigorod",10.6,"M",51.6527348561569,0.447632487412979,5.66884643948635,6.32599488244707,1
"C3F7151","C3F7152","Bagley Wood",13,"F",49.7457355452519,0.785321754916434,2.58869142465998,3.45412818393541,0
"C3F7152","C3F7153","Boshoek",6.2,"F",44.2945265635011,-4.88130928028569,4.83410117571468,4.35906314037095,2
"C3F7153","C3F7154","Donana",8.6,"F",48.9284772465298,-0.557009777428046,4.0202795626863,4.73780345640406,0
"C3F7154","C3F7155","Forstenrieder park",8.5,"F",48.9468731588029,-0.987901844740514,5.86777736118016,3.65101978482075,1
"C3F7155","C3F7156","Gotland",9.1,"F",48.3714089097266,-1.90541920360021,4.8700558640677,5.16044185885871,0
"C3F7156","C3F7157","Mont Ventoux",10.1,"M",49.7113711520524,-0.710813004714438,3.08271017783808,3.02610237040729,0
"C3F7157","C3F7158","Oulu",10.6,"M",49.671848653301,-0.168750676551414,3.44214445657874,5.23011099835467,1
"C3F7158","C3F7159","Westerheide",10.7,"M",49.9366398562877,2.084008806239,5.15055338788046,5.16986392118183,1
"C3F7159","C3F7160","Whytham Woods",5.4,"M",48.0825840870516,-1.64905238109526,4.807570243724,2.84181908334767,3
"C3F7160","C3F7161","Zvenigorod",8.2,"M",50.0074993551032,-0.656728293471927,5.15884255744108,5.7502777187114,0
"C3F7161","C3F7162","Bagley Wood",8.7,"F",47.7061453014034,-1.86709903612047,5.31254297939134,5.78494469355796,1
"C3F7162","C3F7163","Boshoek",11,"F",48.3003429619751,1.16506832271348,5.26848201701424,4.76568435529882,0
"C3F7163","C3F7164","Donana",9.4,"F",48.5667570919291,-2.05280083483373,4.88401477183654,5.43587113453463,1
"C3F7164","C3F7165","Forstenrieder park",5.4,"F",46.6016616812116,-3.2265695366448,5.32296262839889,5.30043936942921,2
"C3F7165","C3F7166","Gotland",10.1,"F",49.4615610411208,-0.703256143685074,5.09964439768712,4.93125096433991,0
"C3F7166","C3F7167","Mont Ventoux",10.3,"M",50.7210923869291,1.42580385861084,5.5248553243966,7.00464981818393,2
"C3F7167","C3F7168","Oulu",10.4,"M",51.1322629851361,0.618220317085568,5.16059809435229,5.76572430047403,1
"C3F7168","C3F7169","Westerheide",10.9,"M",50.0102110941247,2.03820995668805,5.2252417607045,4.82449836979769,2
"C3F7169","C3F7170","Whytham Woods",12.3,"M",50.8551657971383,1.08315704787153,2.75845895078673,3.10844527038708,0
"C3F7170","C3F7171","Zvenigorod",11.7,"M",50.3366761822991,1.41234528352647,4.48194091061148,4.43522014695674,1
"C3F7171","C3F7172","Bagley Wood",12.6,"F",50.7127055617257,1.61244369807509,5.05165326098882,4.60141200982162,3
"C3F7172","C3F7173","Boshoek",9.1,"F",49.4586598185658,-1.80403833159076,5.2731399279193,4.34403673349284,2
"C3F7173","C3F7174","Donana",8,"F",47.5016867980947,-3.10077478987368,5.29840241138028,4.84537289779489,0
"C3F7174","C3F7175","Forstenrieder park",9.5,"F",48.0295362477706,-1.25445408921356,4.632364869403,4.95084195095585,0
"C3F7175","C3F7176","Gotland",11.4,"F",50.7432411112425,1.28527807642552,5.57259356203679,4.85707752059492,2
"C3F7176","C3F7177","Mont Ventoux",13.9,"M",53.8696039926346,4.1840608537209,5.67765202154758,6.5294746304227,0
"C3F7177","C3F7178","Oulu",8.2,"M",49.916128547322,-0.303811431001367,5.16531999236658,3.95652024053068,0
"C3F7178","C3F7179","Westerheide",11.1,"M",51.6585818718457,2.71042421902881,4.86678478293703,5.16934540920839,0
"C3F7179","C3F7180","Whytham Woods",13.3,"M",54.1864513535434,3.67135341030237,4.79831503041073,5.60689236228754,1
"C3F7180","C3F7181","Zvenigorod",11.6,"M",51.7551994212388,1.54976844397982,5.70372339064563,6.18917278327608,2
"C3F7181","C3F7182","Bagley Wood",8.3,"F",46.9188167469747,-3.23790097749311,4.87383964232051,4.67984004326418,2
"C3F7182","C3F7183","Boshoek",11.9,"F",50.418713254482,0.752030225226475,4.75043235140116,4.91521004460332,2
"C3F7183","C3F7184","Donana",10.9,"F",51.018720799236,0.589451376605845,5.49842512156881,5.8521423203292,2
"C3F7184","C3F7185","Forstenrieder park",7.3,"F",47.7265950186004,-1.33328723773057,4.51572485630419,4.15126476728981,1
"C3F7185","C3F7186","Gotland",7.6,"F",47.3255318578422,-0.30179571068473,5.60905839251823,5.15669574029092,1
"C3F7186","C3F7187","Mont Ventoux",15.4,"M",55.7714583189301,5.92258374277407,5.95576884894521,5.69700257801584,0
"C3F7187","C3F7188","Oulu",9.7,"M",49.2249626598979,0.624790927396213,5.06927217284537,3.73595739082739,0
"C3F7188","C3F7189","Westerheide",10,"M",53.4375529736959,3.08246000153924,4.96705985496104,4.37338018156012,0
"C3F7189","C3F7190","Whytham Woods",12.9,"M",54.5595380622759,3.83144642308026,6.28126213701776,5.18858638051497,1
"C3F7190","C3F7191","Zvenigorod",9.4,"M",51.5814874521688,-0.429536300236203,5.51921844204468,3.36205216030854,1
"C3F7191","C3F7192","Bagley Wood",9.9,"F",47.8926859860342,-0.538573422186008,5.32996026822416,5.04057592767909,2
"C3F7192","C3F7193","Boshoek",10.5,"F",50.1872017703579,-0.0179089074238015,4.87920774142831,4.90527655744994,1
"C3F7193","C3F7194","Donana",10.8,"F",48.240294061052,0.0308811452453516,4.92419653843039,5.59650424202237,1
"C3F7194","C3F7195","Forstenrieder park",7.2,"F",46.8670259295085,-3.98424640222002,5.17784717903672,3.74899190900137,2
"C3F7195","C3F7196","Gotland",10.7,"F",49.9136818269037,1.7084294502522,5.70103690646114,5.67065717618885,0
"C3F7196","C3F7197","Mont Ventoux",9.5,"M",50.5652127741768,1.31295493772277,5.08632661259588,4.99794123490423,0
"C3F7197","C3F7198","Oulu",10.7,"M",52.1882098394858,1.51547478121378,5.4435088259066,4.77688586625147,2
"C3F7198","C3F7199","Westerheide",8.3,"M",49.4896738278064,0.221921359594113,5.14060872280635,4.12316214868324,0
"C3F7199","C3F7200","Whytham Woods",11.2,"M",49.3800327802067,0.855942541448617,2.77114450737084,1.79102565282511,1
"C3F7200","C3F7001","Zvenigorod",6.4,"M",46.6735285937828,-2.07031053839955,5.35933509718118,6.45529904423494,1
"C3F7001","C3F7002","Bagley Wood",8.2,"F",45.647537745958,-2.32554925501903,6.13315416264454,5.80572861420753,0
"C3F7002","C3F7003","Boshoek",10.9,"F",50.1270132271596,-0.0433989745702447,4.63540294081904,5.90401799063659,0
"C3F7003","C3F7004","Donana",10.3,"F",49.9514786763081,-0.313545045231864,5.37615187761444,4.3214818073096,0
"C3F7004","C3F7005","Forstenrieder park",11.3,"F",49.3687675696483,-0.174894295977887,4.48983287846286,4.9754506750032,1
"C3F7005","C3F7006","Gotland",10.2,"F",48.5608237079723,-0.883121589826934,5.71704277978027,5.71624177304646,2
"C3F7006","C3F7007","Mont Ventoux",15.1,"M",55.1979048550678,4.58256963028938,4.26632629582409,4.47049051311235,1
"C3F7007","C3F7008","Oulu",10.8,"M",50.961253153211,1.84505599428376,4.01077911340208,3.23582920927589,2
"C3F7008","C3F7009","Westerheide",9.7,"M",50.0936446289303,0.212541763988107,4.54137416069991,3.13612127879374,1
"C3F7009","C3F7010","Whytham Woods",11.5,"M",51.342760443171,2.05340581476572,5.19341177349457,5.70563300005189,1
"C3F7010","C3F7011","Zvenigorod",10.3,"M",48.386585236084,-1.09293700980393,5.55451301730283,4.58785282031971,1
"C3F7011","C3F7012","Bagley Wood",7.9,"F",48.4708065839436,-1.19238902839807,5.22360800782979,5.63653378693893,1
"C3F7012","C3F7013","Boshoek",8.9,"F",48.131353153435,-0.975929463158034,6.28897024018752,6.8191516157845,1
"C3F7013","C3F7014","Donana",9.3,"F",48.7692273164355,-1.95849077581232,3.82545642243024,2.2716686068479,0
"C3F7014","C3F7015","Forstenrieder park",11.3,"F",50.9036399881701,0.224093303947386,4.83514428010999,5.89010445766341,4
"C3F7015","C3F7016","Gotland",9.1,"F",47.7028965672272,-1.76365199069404,4.2932782231635,7.07602024545544,0
"C3F7016","C3F7017","Mont Ventoux",8.1,"M",50.0759679761652,-0.779053252046801,5.06312239678597,6.04948289008614,2
"C3F7017","C3F7018","Oulu",9.1,"M",48.6800203200348,1.33583366180613,4.94129329660067,7.05336686487266,1
"C3F7018","C3F7019","Westerheide",11.2,"M",51.3482998675033,0.83241047314859,4.75662205198754,4.01393509806176,1
"C3F7019","C3F7020","Whytham Woods",7.9,"M",48.8929137770367,-2.13402388033361,4.77260001842566,4.28592867539051,0
"C3F7020","C3F7021","Zvenigorod",13.2,"M",51.9358068100848,-0.52687960667757,5.1276998415826,4.5573517154474,1
"C3F7021","C3F7022","Bagley Wood",10.5,"F",47.8156652207594,-1.31955575387548,3.27610894186471,4.22958007910213,0
"C3F7022","C3F7023","Boshoek",7.1,"F",43.8641280956195,-4.91471544284761,4.18642925935027,5.31248016972357,0
"C3F7023","C3F7024","Donana",7.5,"F",47.375641923817,-1.37521994572141,4.71622232323423,5.14543841414774,1
"C3F7024","C3F7025","Forstenrieder park",12.4,"F",52.4679378814765,1.27610325499213,5.6258975123916,4.78093731106924,3
"C3F7025","C3F7026","Gotland",9.4,"F",48.4084967383157,-1.54269268411388,5.1389282425508,5.39662690008342,4
"C3F7026","C3F7027","Mont Ventoux",8.9,"M",51.2331825764569,0.923811865076383,5.69350863805594,6.05840564596847,0
"C3F7027","C3F7028","Oulu",9,"M",49.5260588288014,0.442566429144851,4.72646927991444,5.14509889226925,1
